mysql: [Warning] Using a password on the command line interface can be insecure.
ID	post_title	post_status
649	Add category to new order email	publish
550	Add category to new order email	draft
926	Admin Email Subject - Shipping/Pickup Labels	publish
656	Blog Post Search	publish
1648	Cart Page Donation Add-0n	publish
549	Completely Disable Comments	draft
657	Current Newsletter Display	publish
1256	Custom Mixed Cart Error Message	publish
548	Display a message after the 1st paragraph of posts	draft
597	Donation handler complete	draft
655	Export Page HTML	publish
1733	Feature - Upcoming Events Widget v2	publish
653	Front End News System	publish
1717	Gmail Email Helper - Massport Campaign	publish
551	graphics for order received woo commerce page	draft
552	Lexington Alarm Custom Donation Handler	draft
601	local pickup handler	draft
651	local pickup handler	publish
1425	Massport pdf Generator	publish
1936	massport_campaign_content	trash
1397	massport-campaign-template	publish
1873	Minimal Content Page Template	draft
1879	NATIONAL DEVELOPMENT LETTER PAGE TEMPLATE - CODE SNIPPETS VERSION	publish
654	News Shortcodes	publish
658	Newsletter List 2025	publish
1729	Performance - Cleanup Redundant Scripts	publish
1726	Performance - Conditional Tockify Loading	publish
1727	Performance - Conditional WooCommerce Assets	publish
1724	Performance - Disable wordpress emoji	publish
1728	Performance - Preconnect Resource Hints	publish
1732	Performance - YouTube Lite Embed v2	publish
723	Plausible Analytics	publish
1263	prevent mixed cart checkout	publish
1660	Rhode Island Campaign Template	publish
1661	Rhode Island PDF	draft
566	shipping or pickup label added to order email	draft
652	Shop Header Customization	publish
620	Shop Header Customization	draft
800	Shop page category grid	publish
1884	standalone_page_with_header	trash
1752	test-3	draft
802	Validate Local Pickup Items	publish
1495	WPForms Entries API Endpoint	publish
1410	WPForms-Force Lowercase Emails	publish
